338,Iron Ore,铁 矿 石,text.ini,1,12,5301172,5425032
715,Blizzard Bulb,冰之结晶,text.ini,1,12,5301212,5425048
716,Floodgate Key,闸门钥匙,text.ini,1,12,5301248,5425080
863,Whisper Earrings,细语耳饰,text.ini,1,12,5301228,5425096
864,Silver Harmonica,银口琴,text.ini,1,12,5301328,5425176
717,Dreaming Idol,梦见之石像,text.ini,1,12,5301424,5425272
920,Anti-Illusion Mirror,破幻之镜,text.ini,1,12,5301348,5425224
414,Evil Bell,恶魔之铃,text.ini,1,12,5301316,5425192
415,Roda Leaf,萝妲之叶,text.ini,1,12,5301476,5425352
84,Apple,苹果,text.ini,1,12,5301516,5425416
467,Long Sword,长 剑,text.ini,1,12,5300676,5424440
468,Chain Mail,锁 子 甲,text.ini,1,12,5300812,5424616
469,Plate Mail,金属板甲,text.ini,1,12,5300840,5424648
611,Battle Sword,战斗之剑,text.ini,1,12,5300688,5424488
712,Battle Shield,战斗之盾,text.ini,1,12,5300784,5424584
617,Battle Armor,战斗铠甲,text.ini,1,12,5300868,5424680
413,Hawk Idol,鹰之雕塑,text.ini,1,12,5301012,5424824
522,Iron Shield,铁盾,text.ini,1,12,5300800,5424568
613,Cleria Sword,克莱里亚之剑,text.ini,1,12,5300736,5424536
618,Cleria Armor,克莱里亚铠甲,text.ini,1,12,5300904,5424696
475,Roda Fruit,萝妲之果,text.ini,1,12,5301548,5425432
521,Short Sword,短 剑,text.ini,1,12,5300656,5424424
166,Talwar,塔瓦刀,text.ini,1,12,5300668,5424456
167,Reflex,反射甲,text.ini,1,12,5300884,5424664
168,Elixir,生命之药,text.ini,1,12,5301508,5425368
612,Hyper Cutter,极 刃 剑,text.ini,1,12,5300704,5424472
614,Large Shield,大 盾,text.ini,1,12,5300752,5424552
616,Breast Plate,胸 甲,text.ini,1,12,5300852,5424632
627,Marle Flower,玛尔之花,text.ini,1,12,5301532,5425448
711,Wooden Shield,木 盾,text.ini,1,12,5300720,5424520
470,Fire Magic,火焰魔法,text.ini,1,12,5300892,5424712
471,Time Magic,时间魔法,text.ini,1,12,5300960,5424760
472,Shrine Key,神殿钥匙,text.ini,1,12,5301200,5425064
473,Lila Shell,里拉的贝壳,text.ini,1,12,5301272,5425112
474,Sacred Cup,圣杯,text.ini,1,12,5301392,5425256
475,Roda Fruit,萝妲之果,text.ini,1,12,5301548,5425432
1,Wing,回归之翼,text.ini,1,12,5301500,5425384
2,Herb,药草,text.ini,1,12,5301524,5425400
528,Volume Mesa,梅萨之章,text.ini,1,12,5301132,5424952
529,Volume Fact,法克特之章,text.ini,1,12,5301160,5424984
622,Volume Hadal,哈达尔之章,text.ini,1,12,5301052,5424904
624,Volume Tovah,托瓦之章,text.ini,1,12,5301100,5424920
625,Volume Gemma,洁码之章,text.ini,1,12,5301116,5424968
714,Volume Dabbie,达比之章,text.ini,1,12,5301084,5424936
523,Light Magic,光明魔法,text.ini,1,12,5300936,5424728
