0,"Pass","通过",text.ini,5,12,5301264
1,"Wing","翼",text.ini,5,12,5301500
2,"Herb","药草",text.ini,5,12,5301524
3,"Gene","基因",text.ini,5,12,5301916
4,"Zava","扎瓦",text.ini,5,12,5302144
5,"Darm","Darm",text.ini,5,12,5302204
6,"Reah","Reah",text.ini,5,12,5305732
7,"Dogi","Dogi",text.ini,5,12,5305764
8,"Sara","Sara",text.ini,5,12,5305772
9,"Jade","玉",text.ini,5,12,5305956
10,"Gila","吉拉",text.ini,5,12,5305980
11,"Tess","苔丝",text.ini,5,12,5305988
12,"Tran","Tran",text.ini,5,12,5306012
13,"Kris","Kris",text.ini,5,12,5306044
14,"Beth","贝丝",text.ini,5,12,5306080
15,"Andy","安迪",text.ini,5,12,5306096
16,"Kate","凯特",text.ini,5,12,5306112
17,"Colt","柯尔特",text.ini,5,12,5306120
18,"Esca","Esca",text.ini,5,12,5306140
19,"Tita","迪达",text.ini,5,12,5306148
20,"Theo","西奥",text.ini,5,12,5306156
21,"Lucy","露西",text.ini,5,12,5306164
22,"Polo","Polo",text.ini,5,12,5306180
23,"Ruba","Ruba",text.ini,5,12,5306196
24,"Fred","弗雷德",text.ini,5,12,5306212
25,"Rafa","拉法",text.ini,5,12,5306220
26,"Noit","Noit",text.ini,5,12,5306228
27,"Elle","Elle",text.ini,5,12,5306248
28,"Nash","纳什",text.ini,5,12,5306320
29,"Sada","Sada",text.ini,5,12,5306416
30,"Regg","雷格",text.ini,5,12,5306456
31,"Frau","Frau",text.ini,5,12,5306472
32,"Neal","尼尔",text.ini,5,12,5306496
33,"Muto","武藤",text.ini,5,12,5306512
34,"Faye","菲",text.ini,5,12,5306520
35,"Jill","吉尔",text.ini,5,12,5306536
36,"Kyle","凯尔",text.ini,5,12,5306544
37,"DEF:","默认值：",text.ini,5,12,5308860
38,"STR:","STR：",text.ini,5,12,5308868
39,"EXP:","有效期：",text.ini,5,12,5308884
40,"EASY","容易",text.ini,5,12,5311708
41,"HARD","硬",text.ini,5,12,5311716
42,"Ploo","普洛",text.ini,5,12,5313512
43,"Rurr","呜呜",text.ini,5,12,5313536
44,"Yupe","尤佩",text.ini,5,12,5313592
45,"Elbo","Elbo",text.ini,5,12,5313720
46,"Troo","特罗",text.ini,5,12,5314064
47,"Wart","疣",text.ini,5,12,5314152
48,"Vivi","Vivi",text.ini,5,12,5314188
49,"Vivi","Vivi",text.ini,5,12,5314188
50,"Jilk","伊尔克",text.ini,5,12,5314224
51,"DOOM","厄运",text.ini,5,12,5314256
52,"Lurr","卢尔",text.ini,5,12,5314404
53,"Plix","普利克斯",text.ini,5,12,5314436
54,"Daps","DAPs",text.ini,5,12,5314492
55,"Blik","布利克",text.ini,5,12,5314644
56,"Jerk","混蛋",text.ini,5,12,5314652
57,"Wham","Wham",text.ini,5,12,5314660
58,"Klok","Klok",text.ini,5,12,5314668
59,"Plop","扑通",text.ini,5,12,5314676
60,"Drat","Drat",text.ini,5,12,5314688
61,"Glig","格利格",text.ini,5,12,5314716
62,"Slam","满贯",text.ini,5,12,5314724
63,"Stub","存根",text.ini,5,12,5314756
64,"Chew","咀嚼",text.ini,5,12,5314776
65,"Durr","杜尔",text.ini,5,12,5314788
66,"64206","64206",text.ini,5,12,5314796
67,"Flik","Flik",text.ini,5,12,5314804
68,"Iaia","IAIA",text.ini,5,12,5314864
69,"Ndnd","Ndnd",text.ini,5,12,5314912
70,"July","七月",text.ini,5,12,5314952
71,"Brie","Brie",text.ini,5,12,5314980
72,"Aqua","Aqua",text.ini,5,12,5315072
73,"Dark","黑暗",text.ini,5,12,5316084
74,"Clay","粘土",text.ini,5,12,5317836
75,"Walk","走",text.ini,5,12,5329920
76,"MIDI","MIDI",text.ini,5,12,5330368
77,"SAVE","拯救",text.ini,5,12,5330384
78,"LOAD","负载",text.ini,5,12,5330392
79,"QUIT","退出",text.ini,5,12,5330428
80,"ITEM","项目",text.ini,5,12,5332172
81,"NOTE","注意",text.ini,5,12,5332180
82,"March","三月",text.ini,6,12,5162416
83,"April","四月",text.ini,6,12,5162424
84,"Apple","苹果",text.ini,6,12,5301516
85,"Tolpi","托尔皮",text.ini,6,12,5301804
86,"Carly","卡莉",text.ini,6,12,5301812
87,"Neeli","倪丽",text.ini,6,12,5301828
88,"Swoff","斯沃福德",text.ini,6,12,5301892
89,"Topus","托普斯",text.ini,6,12,5301936
90,"Dirga","迪尔加",text.ini,6,12,5301944
91,"Feena","费纳",text2.ini,6,12,5305712
92,"Goban","戈班",text.ini,6,12,5305724
93,"Banoa","巴诺阿",text.ini,6,12,5305868
94,"Lilia","莉莉娅",text.ini,6,12,5305876
95,"Astal","阿斯塔尔",text.ini,6,12,5305896
96,"Guido","Guido",text.ini,6,12,5305964
97,"Leggs","莱格斯",text.ini,6,12,5305972
